Image URL,Модель,Год,Цена,Валюта,Город
https://kolesa-photos.kcdn.online/webp/c2/c2f0e395-7c08-43f0-a424-9d86b308f502/2-200x150.jpg,Toyota Camry,2007,5850000,тг.,Кокшетау
https://kolesa-photos.kcdn.online/webp/3e/3eda3c00-4585-421a-ae6b-9d7e677ecdc9/1-120x90.jpg,Hyundai Elantra,2019,8000000,тг.,Астана
https://kolesa-photos.kcdn.online/webp/3e/3eda3c00-4585-421a-ae6b-9d7e677ecdc9/1-200x150.jpg,Hyundai Elantra,2019,8000000,тг.,Астана
https://kolesa-photos.kcdn.online/webp/c3/c39bc4e4-2a0f-40bc-b78e-9b757a6f9385/40-120x90.jpg,Zeekr X Premium,2023,13990000,тг.,Талдыкорган
https://kolesa-photos.kcdn.online/webp/c3/c39bc4e4-2a0f-40bc-b78e-9b757a6f9385/40-200x150.jpg,Zeekr X Premium,2023,13990000,тг.,Талдыкорган
https://kolesa-photos.kcdn.online/webp/89/89d48207-5967-4dfe-b633-9d7ae9fd2ec6/1-120x90.jpg,ВАЗ (Lada) 2114,2012,1800000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/89/89d48207-5967-4dfe-b633-9d7ae9fd2ec6/1-200x150.jpg,ВАЗ (Lada) 2114,2012,1800000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/ca/ca6d28ab-b0a8-4a51-9ec8-9b590ab2f99f/16-120x90.jpg,Li L7,2024,23700000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/ca/ca6d28ab-b0a8-4a51-9ec8-9b590ab2f99f/16-200x150.jpg,Li L7,2024,23700000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/1c/1c564e77-bb31-449f-a054-9d7a97053f8c/1-120x90.jpg,Chevrolet Onix,2024,8490000,тг.,Астана
https://kolesa-photos.kcdn.online/webp/1c/1c564e77-bb31-449f-a054-9d7a97053f8c/1-200x150.jpg,Chevrolet Onix,2024,8490000,тг.,Астана
https://kolesa-photos.kcdn.online/webp/17/1785d3f0-ff2c-4148-9548-9d82b8ea7a03/2-120x90.jpg,Daewoo Nexia,2012,1450000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/17/1785d3f0-ff2c-4148-9548-9d82b8ea7a03/2-200x150.jpg,Daewoo Nexia,2012,1450000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/61/61121fbf-8a76-446c-b710-9d6a87799276/1-120x90.jpg,Kia K3,2021,9230000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/61/61121fbf-8a76-446c-b710-9d6a87799276/1-200x150.jpg,Kia K3,2021,9230000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/83/83ef41f4-0c66-47ed-ba2a-9d28524a801d/1-120x90.jpg,Chevrolet Nexia,2022,4510000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/83/83ef41f4-0c66-47ed-ba2a-9d28524a801d/1-200x150.jpg,Chevrolet Nexia,2022,4510000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/27/27cbf4ae-8a6c-4399-8b99-9d7a6f8974cb/9-120x90.jpg,Chevrolet Cobalt Elegant AT,2024,7990000,тг.,Павлодар
https://kolesa-photos.kcdn.online/webp/27/27cbf4ae-8a6c-4399-8b99-9d7a6f8974cb/9-200x150.jpg,Chevrolet Cobalt Elegant AT,2024,7990000,тг.,Павлодар
https://kolesa-photos.kcdn.online/webp/be/be667349-86aa-4f63-a728-983496b738f1/1-120x90.jpg,Kia Cee'd,2023,11790000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/be/be667349-86aa-4f63-a728-983496b738f1/1-200x150.jpg,Kia Cee'd,2023,11790000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/94/94239cc0-d174-4e99-b419-9d7e98537a85/4-120x90.jpg,Volkswagen Golf,1994,3100000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/94/94239cc0-d174-4e99-b419-9d7e98537a85/4-200x150.jpg,Volkswagen Golf,1994,3100000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/77/777f8e49-31c2-4a4f-8595-9d7a9f2fd24a/2-120x90.jpg,BRP  Ski-Doo Summit 850,2021,9800000,тг.,Риддер
https://kolesa-photos.kcdn.online/webp/77/777f8e49-31c2-4a4f-8595-9d7a9f2fd24a/2-200x150.jpg,BRP  Ski-Doo Summit 850,2021,9800000,тг.,Риддер
https://kolesa-photos.kcdn.online/webp/bd/bd2999e3-1a66-44c2-99dd-9d6aaf37bf0d/2-120x90.jpg,Mercedes-Benz S 320,1997,3200000,тг.,Есик
https://kolesa-photos.kcdn.online/webp/bd/bd2999e3-1a66-44c2-99dd-9d6aaf37bf0d/2-200x150.jpg,Mercedes-Benz S 320,1997,3200000,тг.,Есик
//kolesa.kz/static/frontend/images/promo/app/qr.svg,,,,,
//kolesa.kz/static/frontend/images/promo/app/ru/phone.png?2,,,,,
https://kolesa-photos.kcdn.online/webp/33/335f88a9-18cb-4190-aea4-98ed93348cf2/1-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/33/335f88a9-18cb-4190-aea4-98ed93348cf2/1-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/5a/5a8d5601-293b-4a60-b3b6-995e3a8a095e/1-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/5a/5a8d5601-293b-4a60-b3b6-995e3a8a095e/1-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/1f/1f00c68f-1a9f-40c2-9ddf-995e37ea39f1/2-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/1f/1f00c68f-1a9f-40c2-9ddf-995e37ea39f1/2-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/9b/9b6a7526-61bb-441f-908b-9d86b6696bb6/1-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/9b/9b6a7526-61bb-441f-908b-9d86b6696bb6/1-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/d9/d9a03931-1570-4fe8-bd92-3e5825708c3b/4-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/d9/d9a03931-1570-4fe8-bd92-3e5825708c3b/4-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/ed/ed4609ab-eaeb-4d62-9917-7c0394e773d6/3-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/ed/ed4609ab-eaeb-4d62-9917-7c0394e773d6/3-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/e2/e237c303-0b8a-4271-973b-63fe48811716/1-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/e2/e237c303-0b8a-4271-973b-63fe48811716/1-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/1a/1a36f295-4152-4944-896d-a792a33fd2cb/1-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/1a/1a36f295-4152-4944-896d-a792a33fd2cb/1-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/4a/4a68aca0-5d59-4dad-ac21-9d86b47f17ce/14-120x90.jpg,Shanmon  388T (3в1) Экскаватор-Погрузчик: трансмиссия и мосты Carraro,2024,24500000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/4a/4a68aca0-5d59-4dad-ac21-9d86b47f17ce/14-200x150.jpg,Shanmon  388T (3в1) Экскаватор-Погрузчик: трансмиссия и мосты Carraro,2024,24500000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/c1/c113fa51-64b6-4100-bcad-9b471c9c04d0/2-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/c1/c113fa51-64b6-4100-bcad-9b471c9c04d0/2-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/71/718fca8e-297b-4437-a867-98161d44fa19/1-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/71/718fca8e-297b-4437-a867-98161d44fa19/1-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/3c/3cdb6bc0-da29-4e55-b34c-98f952e20d16/1-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/3c/3cdb6bc0-da29-4e55-b34c-98f952e20d16/1-200x150.jpg,,,,,
//kolesa.kz/static/frontend/images/kolesa-logo-new.svg,,,,,
//kolesa.kz/static/frontend/images/social/instagram.svg,,,,,
//kolesa.kz/static/frontend/images/social/youtube.svg,,,,,
//kolesa.kz/static/frontend/images/social/telegram.svg,,,,,
//kolesa.kz/static/frontend/images/social/tiktok.svg,,,,,
//kolesa.kz/static/frontend/images/social/vk.svg,,,,,
//kolesa.kz/static/frontend/images/social/facebook.svg,,,,,
https://mc.yandex.ru/watch/10095472?ut=noindex,,,,,
